ID,X,Y
0,539120.0,631755.0
0,539120.0,631754.0
1,539120.0,631759.0
0,539120.0,631756.0
0,539055.0,631237.0
1,539120.0,631763.0
1,539120.0,631762.0
1,539120.0,631761.0
1,539120.0,631760.0
1,539120.0,631765.0
1,539120.0,631764.0
1,539071.0,631699.0
1,539071.0,631698.0
1,539071.0,631697.0
1,539071.0,631696.0
1,539071.0,631700.0
1,539071.0,631695.0
0,539030.0,631755.0
1,538973.0,631365.0
1,538973.0,631364.0
1,539112.0,631720.0
0,539153.0,631701.0
0,539153.0,631702.0
0,539153.0,631703.0
1,539112.0,631735.0
1,539112.0,631734.0
1,539112.0,631733.0
1,539112.0,631732.0
1,539112.0,631691.0
0,539153.0,631652.0
1,539112.0,631695.0
1,539112.0,631694.0
1,539112.0,631693.0
1,539112.0,631692.0
0,539153.0,631651.0
0,539112.0,631701.0
1,539022.0,631666.0
1,539022.0,631667.0
1,539022.0,631664.0
1,539022.0,631665.0
1,539063.0,631596.0
1,539022.0,631663.0
1,539063.0,631696.0
1,539063.0,631712.0
1,539063.0,631705.0
1,539063.0,631704.0
1,539063.0,631711.0
1,539063.0,631710.0
1,539063.0,631709.0
1,539104.0,631642.0
1,539104.0,631641.0
1,539104.0,631640.0
1,539104.0,631639.0
1,539104.0,631637.0
1,539104.0,631636.0
1,539104.0,631691.0
1,539104.0,631693.0
1,539104.0,631692.0
1,539039.0,631264.0
1,538834.0,631423.0
1,538834.0,631424.0
1,539055.0,631712.0
1,539055.0,631713.0
1,539055.0,631711.0
1,539006.0,631522.0
1,539006.0,631523.0
1,539006.0,631520.0
1,539006.0,631521.0
1,539006.0,631526.0
1,539006.0,631527.0
1,539006.0,631524.0
1,539006.0,631525.0
1,539096.0,631693.0
1,539096.0,631692.0
0,539055.0,631739.0
0,539055.0,631740.0
1,538826.0,631423.0
0,539137.0,631733.0
1,538826.0,631424.0
1,539031.0,631330.0
1,539031.0,631331.0
1,539031.0,631328.0
1,539031.0,631329.0
1,539031.0,631327.0
0,539006.0,631706.0
0,539006.0,631707.0
0,539006.0,631704.0
0,539006.0,631705.0
1,539088.0,631691.0
1,539088.0,631690.0
1,539088.0,631689.0
1,539088.0,631688.0
1,539088.0,631692.0
1,539088.0,631687.0
1,539039.0,631626.0
1,539039.0,631627.0
1,539039.0,631624.0
1,539039.0,631625.0
1,539039.0,631622.0
1,539039.0,631623.0
0,539072.0,631528.0
0,539072.0,631527.0
0,538982.0,631389.0
0,539211.0,631761.0
0,538982.0,631390.0
0,539211.0,631762.0
1,539121.0,631750.0
1,539121.0,631763.0
1,539121.0,631762.0
1,539121.0,631761.0
1,539121.0,631760.0
1,539121.0,631765.0
1,539121.0,631764.0
0,539121.0,631755.0
0,539121.0,631754.0
1,539121.0,631759.0
1,539121.0,631758.0
0,539121.0,631757.0
0,539121.0,631756.0
1,539121.0,631735.0
0,539236.0,631417.0
1,539121.0,631734.0
0,539236.0,631416.0
0,539236.0,631415.0
1,538974.0,631365.0
1,538974.0,631366.0
0,539056.0,631242.0
0,539056.0,631241.0
0,539056.0,631238.0
0,539056.0,631239.0
0,539056.0,631237.0
1,539113.0,631603.0
1,538892.0,631417.0
1,539113.0,631602.0
1,538892.0,631418.0
1,539113.0,631601.0
1,539113.0,631600.0
1,539113.0,631604.0
1,539113.0,631599.0
1,539113.0,631691.0
1,539113.0,631695.0
1,539113.0,631694.0
1,539113.0,631693.0
1,539113.0,631692.0
1,539072.0,631695.0
1,539203.0,631758.0
1,539072.0,631699.0
1,539072.0,631698.0
1,539072.0,631697.0
1,539072.0,631696.0
0,539064.0,631595.0
1,539064.0,631594.0
0,539064.0,631593.0
1,539064.0,631596.0
0,539154.0,631701.0
0,539154.0,631702.0
0,539154.0,631703.0
1,539113.0,631735.0
1,539113.0,631734.0
1,539113.0,631733.0
1,539113.0,631732.0
1,539113.0,631727.0
0,539007.0,631326.0
0,539007.0,631327.0
1,539023.0,631666.0
1,539023.0,631664.0
1,539023.0,631665.0
1,539023.0,631662.0
1,539023.0,631663.0
1,539023.0,631661.0
1,539064.0,631713.0
1,539064.0,631712.0
1,539105.0,631691.0
1,539105.0,631694.0
1,539105.0,631693.0
1,539105.0,631692.0
1,539105.0,631642.0
1,539105.0,631641.0
1,539064.0,631704.0
1,539064.0,631711.0
1,539064.0,631696.0
1,539064.0,631701.0
0,539040.0,631266.0
1,539040.0,631264.0
0,539040.0,631265.0
1,539007.0,631523.0
1,539007.0,631527.0
1,539007.0,631524.0
1,539056.0,631712.0
1,539056.0,631713.0
1,539097.0,631693.0
1,539056.0,631710.0
1,539056.0,631711.0
1,538827.0,631423.0
1,538827.0,631424.0
0,539007.0,631706.0
0,539007.0,631707.0
0,539007.0,631705.0
1,538999.0,631478.0
